Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
105,149,Federico Dimarco,84,80,77,84,83,78,81,83,78,83,72,81,84,77,70,79,87,82,85,81,88,83,80,84,83,86,78,80,65,79,80,79,82,85,78,81,LB,4,3,Left,"174cm / 5'9""",76kg / 168lb,LM,26,Italy,Serie A Enilive,Lombardia FC,"Finesse Shot, First Touch, Incisive Pass, Long Ball Pass, Power Shot, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/federico-dimarco/226268,,,,,
106,149,Artem Dovbyk,84,84,85,69,79,34,81,81,86,85,88,89,78,67,84,72,48,58,80,70,63,81,74,72,80,79,83,25,86,32,28,23,95,75,86,74,ST,4,3,Left,"189cm / 6'2""",78kg / 172lb,,27,Ukraine,Serie A Enilive,AS Roma,Power Header,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/artem-dovbyk/242458,,,,,
122,149,Benjamin Pavard,84,75,67,75,75,86,81,74,76,68,60,80,70,81,51,69,76,51,80,79,67,73,71,70,86,78,80,86,84,85,87,84,88,84,80,78,CB,3,3,Right,"186cm / 6'1""",81kg / 179lb,RB,28,France,Serie A Enilive,Lombardia FC,"Jockey+, Intercept",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/benjamin-pavard/226851,,,,,
128,149,Dušan Vlahović,84,78,84,69,79,29,83,76,79,87,86,84,83,79,80,70,57,89,75,60,78,80,63,53,86,84,81,24,83,19,26,24,92,77,87,78,ST,3,3,Left,"190cm / 6'3""",75kg / 165lb,,24,Serbia,Serie A Enilive,Juventus,"Chip Shot, Dead Ball, Finesse Shot, Flair",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dusan-vlahovic/246430,,,,,
133,222,Ismaël Bennacer,83,77,73,82,85,78,75,81,74,75,67,85,74,64,72,80,78,75,85,83,79,84,86,89,83,85,87,81,62,79,82,77,77,78,69,86,CDM,3,3,Left,"175cm / 5'9""",70kg / 154lb,"CM, CAM",26,Algeria,Serie A Enilive,Milano FC,"Incisive Pass, Technical, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ismael-bennacer/226754,,,,,
138,222,Stefan de Vrij,83,62,41,65,69,85,75,63,61,31,25,65,60,27,41,70,49,36,75,71,45,66,60,60,83,74,85,87,79,86,85,81,82,67,78,78,CB,3,2,Right,"189cm / 6'2""",78kg / 172lb,,32,Holland,Serie A Enilive,Lombardia FC,"Aerial, Jockey",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/stefan-de-vrij/198176,,,,,
153,222,Teun Koopmeiners,83,66,78,83,78,75,78,64,67,80,75,82,83,69,85,84,79,77,86,85,74,76,66,70,84,84,81,78,73,76,74,73,77,87,75,72,CM,2,3,Left,"183cm / 6'0""",77kg / 170lb,CAM,26,Holland,Serie A Enilive,Juventus,"Anticipate, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/teun-koopmeiners/240679,,,,,
159,222,Manuel Locatelli,83,64,70,80,78,79,80,61,67,68,62,79,82,70,60,82,73,64,85,83,73,79,65,60,80,83,82,78,68,80,83,75,74,90,76,77,CDM,4,3,Right,"185cm / 6'1""",75kg / 165lb,CM,26,Italy,Serie A Enilive,Juventus,"Anticipate, Long Ball Pass, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/manuel-locatelli/222077,,,,,
162,222,Henrikh Mkhitaryan,83,78,79,82,84,72,77,80,77,80,78,84,77,79,72,85,79,69,85,82,83,83,85,83,83,86,85,75,68,71,72,70,79,85,72,79,CM,5,4,Right,"177cm / 5'10""",75kg / 165lb,CAM,35,Armenia,Serie A Enilive,Lombardia FC,"Anticipate, Finesse Shot, Flair, Incisive Pass, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/henrikh-mkhitaryan/192883,,,,,
163,222,Morata,83,82,81,73,80,31,79,81,83,87,82,83,76,82,75,77,72,52,77,63,78,80,74,63,84,83,79,26,87,37,14,20,94,79,81,69,ST,4,3,Right,"190cm / 6'3""",84kg / 185lb,,31,Spain,Serie A Enilive,Milano FC,"Rapid, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/morata/201153,,,,,
169,222,Lorenzo Pellegrini,83,79,78,83,83,74,78,79,79,80,78,79,77,74,80,87,74,79,88,83,74,80,79,82,85,87,84,72,74,73,77,73,83,87,74,74,CAM,4,3,Right,"186cm / 6'1""",77kg / 170lb,CM,28,Italy,Serie A Enilive,AS Roma,"Finesse Shot, Incisive Pass, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lorenzo-pellegrini/228251,,,,,
174,222,Ivan Provedel,83,84,79,80,85,42,84,44,40,16,17,60,20,14,22,63,21,13,61,56,13,16,38,44,75,22,68,22,23,22,22,21,65,28,56,27,GK,2,1,Right,"192cm / 6'4""",84kg / 185lb,,30,Italy,Serie A Enilive,Latium,"Deflector, Far Throw, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ivan-provedel/224987,84,79,80,84,85
175,222,Christian Pulisic,83,88,82,78,86,37,63,91,85,80,84,81,79,74,80,79,78,75,80,70,83,85,90,86,84,86,83,33,50,38,32,48,69,76,54,70,RW,5,4,Right,"177cm / 5'10""",69kg / 152lb,"RM, LW",25,United States,Serie A Enilive,Milano FC,"Finesse Shot, Flair, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/christian-pulisic/227796,,,,,
179,222,Alessio Romagnoli,83,64,40,56,69,85,79,65,64,31,30,63,46,28,34,45,36,24,75,69,35,68,52,54,82,75,77,85,81,86,86,86,86,68,83,82,CB,3,2,Left,"185cm / 6'1""",75kg / 165lb,,29,Italy,Serie A Enilive,Latium,"Aerial, Bruiser",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alessio-romagnoli/210413,,,,,
181,222,Douglas Luiz,83,66,78,85,80,75,76,69,64,76,74,79,84,77,83,86,82,83,87,84,89,79,74,75,79,85,84,77,62,76,79,72,74,80,74,77,CM,2,3,Right,"175cm / 5'9""",66kg / 146lb,CDM,26,Brazil,Serie A Enilive,Juventus,"Dead Ball, Flair, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/douglas-luiz/236499,,,,,
185,222,Marcus Thuram,83,87,81,77,82,50,84,84,89,80,83,84,78,77,70,80,78,58,80,70,74,86,78,66,85,80,77,50,80,44,49,42,94,83,88,71,ST,4,3,Right,"192cm / 6'4""",80kg / 176lb,,27,France,Serie A Enilive,Lombardia FC,"Aerial, Quick Step, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marcus-thuram/228093,,,,,
186,222,Fikayo Tomori,83,84,40,60,68,85,80,81,87,37,33,56,45,32,27,48,53,40,75,65,38,61,74,71,84,70,81,84,83,84,87,81,92,71,81,88,CB,4,2,Right,"185cm / 6'1""",79kg / 174lb,,26,England,Serie A Enilive,Milano FC,"Block+, Anticipate, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/fikayo-tomori/232756,,,,,
191,222,Mattia Zaccagni,83,87,77,75,88,57,66,90,85,79,79,78,76,74,61,77,75,51,78,76,70,88,93,87,83,87,83,58,66,55,58,52,79,75,63,61,LW,4,4,Right,"177cm / 5'10""",63kg / 139lb,"CAM, LM",29,Italy,Serie A Enilive,Latium,"Flair, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mattia-zaccagni/220502,,,,,
192,222,Duván Zapata,83,73,82,64,78,35,88,75,71,86,85,88,69,79,75,70,47,62,74,57,55,80,67,59,78,81,82,20,87,44,24,22,95,78,95,80,ST,4,3,Right,"188cm / 6'2""",92kg / 203lb,,33,Colombia,Serie A Enilive,Torino,"Aerial, Power Header, Power Shot",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/duvan-zapata/215333,,,,,
205,322,Marco Carnesecchi,82,84,79,71,85,30,83,24,39,9,8,53,10,7,17,54,11,12,36,31,18,14,40,25,70,21,40,13,20,16,15,12,58,28,55,27,GK,3,1,Right,"191cm / 6'3""",83kg / 183lb,,24,Italy,Serie A Enilive,Bergamo Calcio,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marco-carnesecchi/252154,84,79,71,83,85
210,322,Danilo,82,76,67,74,74,84,77,70,80,69,59,82,69,69,67,64,76,73,78,76,73,73,63,66,80,79,82,84,79,84,85,81,85,69,80,79,CB,4,3,Right,"184cm / 6'0""",78kg / 172lb,RB,33,Brazil,Serie A Enilive,Juventus,"Anticipate, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/danilo/199304,,,,,
215,322,Giovanni Di Lorenzo,82,83,67,73,76,79,80,82,84,70,66,72,69,60,59,68,76,68,76,72,67,76,76,78,78,77,74,80,71,79,81,79,85,87,77,79,RB,3,3,Right,"183cm / 6'0""",82kg / 181lb,RM,31,Italy,Serie A Enilive,SSC Napoli,"First Touch, Rapid, Relentless, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/giovanni-di-lorenzo/217870,,,,,
217,322,Denzel Dumfries,82,83,66,73,74,78,88,77,87,78,70,70,59,51,50,64,79,44,78,73,72,74,69,61,81,78,74,76,85,76,79,78,94,89,89,83,RB,3,2,Right,"188cm / 6'2""",80kg / 176lb,RM,28,Holland,Serie A Enilive,Lombardia FC,"Quick Step, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/denzel-dumfries/233096,,,,,
240,322,Filip Kostić,82,85,76,81,81,70,80,84,85,78,72,86,78,75,66,79,87,80,80,78,85,83,76,79,80,81,82,69,59,69,74,72,80,88,77,76,LM,2,3,Left,"184cm / 6'0""",84kg / 185lb,"LB, LW",31,Serbia,Serie A Enilive,Juventus,"Rapid, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/filip-kostic/208574,,,,,
246,322,Stanislav Lobotka,82,72,69,80,81,75,75,76,68,76,68,69,77,43,56,82,75,55,84,84,75,80,75,86,80,84,77,78,45,77,80,76,67,89,68,76,CM,4,3,Right,"170cm / 5'7""",68kg / 150lb,CDM,29,Slovakia,Serie A Enilive,SSC Napoli,"Anticipate, First Touch, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/stanislav-lobotka/216435,,,,,
247,322,Ademola Lookman,82,84,81,71,86,31,66,88,81,87,85,81,77,80,62,77,66,53,79,60,69,87,91,85,85,86,78,32,67,27,23,24,79,69,64,62,ST,4,4,Right,"174cm / 5'9""",71kg / 157lb,,26,Nigeria,Serie A Enilive,Bergamo Calcio,"First Touch, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ademola-lookman/230899,,,,,
248,322,Romelu Lukaku,82,79,82,73,74,38,82,71,86,84,83,86,75,78,88,75,72,65,75,67,75,78,59,52,80,75,81,27,82,30,40,30,93,64,94,70,ST,4,3,Left,"191cm / 6'3""",94kg / 207lb,,31,Belgium,Serie A Enilive,SSC Napoli,"Power Header, Power Shot, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/romelu-lukaku/192505,,,,,
249,322,Gianluca Mancini,82,71,45,56,64,83,85,65,75,32,48,51,34,40,47,56,34,34,67,71,38,59,34,57,82,76,80,84,82,84,84,79,86,80,84,92,CB,3,2,Right,"190cm / 6'3""",77kg / 170lb,,28,Italy,Serie A Enilive,AS Roma,"Bruiser, Intercept, Long Ball Pass, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gianluca-mancini/229582,,,,,
259,322,Tijjani Reijnders,82,80,76,80,84,73,74,83,77,79,71,85,82,65,59,81,73,70,85,81,77,84,82,84,80,84,83,75,61,71,77,71,76,92,65,75,CM,4,4,Right,"185cm / 6'1""",73kg / 161lb,"CDM, CAM",26,Holland,Serie A Enilive,Milano FC,"Flair, Incisive Pass, Power Shot, Technical, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tijjani-reijnders/240638,,,,,
277,322,Raphaël Varane,82,73,49,64,69,83,77,69,77,55,46,52,53,42,43,59,42,52,78,76,46,67,59,39,81,75,79,83,84,82,86,77,88,58,84,79,CB,4,2,Right,"191cm / 6'3""",81kg / 179lb,,31,France,Serie A Enilive,Como,"Aerial, Anticipate",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/raphael-varane/201535,,,,,
289,458,Bryan Cristante,81,55,74,78,75,78,84,53,56,76,68,83,78,72,68,80,70,66,82,86,68,76,62,54,80,80,82,76,76,80,78,74,80,93,83,78,CM,4,3,Right,"186cm / 6'1""",80kg / 176lb,"CDM, CB",29,Italy,Serie A Enilive,AS Roma,"Anticipate, Incisive Pass, Long Ball Pass, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bryan-cristante/208268,,,,,
292,458,Matteo Darmian,81,72,62,75,76,80,75,68,76,78,60,69,60,65,49,70,74,40,84,76,75,72,79,80,83,80,79,80,76,80,81,80,79,79,70,80,RB,5,3,Right,"183cm / 6'0""",70kg / 154lb,"CB, RM",34,Italy,Serie A Enilive,Lombardia FC,Relentless,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matteo-darmian/184392,,,,,
298,458,Youssouf Fofana,81,69,68,74,77,78,80,67,70,73,66,76,70,46,64,77,66,56,80,78,66,77,70,75,79,79,77,81,63,78,81,76,75,90,77,78,CDM,3,3,Right,"185cm / 6'1""",74kg / 163lb,CM,25,France,Serie A Enilive,Milano FC,Intercept,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/youssouf-fofana/245630,,,,,
299,458,Davide Frattesi,81,80,74,78,81,71,71,80,80,79,75,76,74,71,64,84,67,65,84,80,71,80,77,76,80,85,79,71,70,70,73,70,77,81,63,76,CM,4,3,Right,"178cm / 5'10""",74kg / 163lb,CAM,24,Italy,Serie A Enilive,Lombardia FC,Intercept,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/davide-frattesi/239807,,,,,
300,458,Remo Freuler,81,60,72,76,77,77,74,63,58,78,70,75,74,68,61,78,65,70,83,78,61,76,67,65,82,83,83,79,48,80,81,76,62,91,67,71,CDM,3,4,Right,"181cm / 5'11""",80kg / 176lb,CM,32,Switzerland,Serie A Enilive,Bologna,Intercept,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/remo-freuler/202024,,,,,
313,458,Odilon Kossounou,81,80,32,64,67,82,80,74,84,44,26,52,24,28,32,57,58,23,77,75,33,66,62,56,77,69,73,82,80,82,84,82,81,76,82,79,CB,3,2,Right,"191cm / 6'3""",82kg / 181lb,RB,23,Côte d'Ivoire,Serie A Enilive,Bergamo Calcio,Block,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/odilon-kossounou/246875,,,,,
316,458,Ruben Loftus-Cheek,81,81,76,79,82,77,83,78,84,83,78,82,75,60,56,80,75,57,84,80,70,83,75,68,81,84,82,77,85,75,78,70,94,79,87,75,CM,4,4,Right,"191cm / 6'3""",88kg / 194lb,CAM,28,England,Serie A Enilive,Milano FC,Press Proven,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ruben-loftus-cheek/213666,,,,,
321,458,Alex Meret,81,80,78,72,84,44,83,41,48,20,17,54,17,20,21,25,15,21,30,25,20,16,46,48,76,25,67,22,19,10,21,12,66,29,65,22,GK,3,1,Left,"192cm / 6'4""",82kg / 181lb,,27,Italy,Serie A Enilive,SSC Napoli,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alex-meret/225116,80,78,72,83,84
322,458,Arkadiusz Milik,81,56,82,72,77,40,72,48,62,83,83,84,78,83,79,78,63,81,75,64,76,76,69,62,82,83,84,36,85,35,34,32,80,58,80,67,ST,3,3,Left,"186cm / 6'1""",80kg / 176lb,,30,Poland,Serie A Enilive,Juventus,Power Shot,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/arkadiusz-milik/205175,,,,,
325,458,Riccardo Orsolini,81,79,80,78,83,49,67,81,78,78,78,83,84,79,74,77,84,75,77,72,82,85,83,76,76,83,76,40,61,54,48,38,78,74,72,45,RM,4,4,Left,"183cm / 6'0""",83kg / 183lb,RW,27,Italy,Serie A Enilive,Bologna,"Dead Ball, Flair, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/riccardo-orsolini/233556,,,,,
351,458,Piotr Zieliński,81,78,76,80,83,71,62,78,78,79,74,79,82,75,58,82,73,65,84,81,80,83,82,79,80,85,75,74,52,69,76,74,66,77,57,56,CM,5,3,Right,"180cm / 5'11""",75kg / 165lb,CDM,30,Poland,Serie A Enilive,Lombardia FC,Technical,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/piotr-zielinski/210406,,,,,
359,577,Marko Arnautović,80,70,79,78,79,44,78,70,70,78,79,80,80,77,77,79,77,72,81,74,78,78,69,78,77,84,80,38,79,40,42,39,86,71,82,77,ST,4,4,Right,"192cm / 6'4""",83kg / 183lb,,35,Austria,Serie A Enilive,Lombardia FC,"Flair, Technical, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marko-arnautovic/184200,,,,,
373,577,Alessandro Buongiorno,80,65,45,69,65,82,76,61,68,37,36,65,47,46,49,70,63,43,78,72,52,60,57,61,78,71,77,84,79,85,81,78,81,70,77,82,CB,3,2,Left,"190cm / 6'3""",86kg / 190lb,,25,Italy,Serie A Enilive,SSC Napoli,"Aerial, Intercept",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alessandro-buongiorno/243241,,,,,
374,577,Davide Calabria,80,78,57,70,76,79,71,80,77,51,48,68,71,60,48,64,76,48,74,69,73,73,80,81,78,77,78,80,64,81,81,80,74,80,62,80,RB,3,3,Right,"177cm / 5'10""",70kg / 154lb,,27,Italy,Serie A Enilive,Milano FC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/davide-calabria/228881,,,,,
376,577,Samuel Chukwueze,80,88,74,74,83,36,61,91,86,78,75,78,72,70,55,76,76,58,77,66,73,86,85,83,77,82,72,33,44,40,32,33,68,67,62,47,RW,2,4,Left,"172cm / 5'8""",70kg / 154lb,RM,25,Nigeria,Serie A Enilive,Milano FC,"Flair, Quick Step, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/samuel-chukwueze/246172,,,,,
381,577,Michele Di Gregorio,80,82,78,78,82,56,82,55,57,9,9,59,18,11,17,65,13,14,48,46,17,28,55,55,68,30,56,15,11,21,14,10,69,36,68,26,GK,3,1,Right,"187cm / 6'2""",82kg / 181lb,,27,Italy,Serie A Enilive,Juventus,"1v1 Close Down, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/michele-di-gregorio/235840,82,78,78,82,82
384,577,Éderson,80,72,68,75,79,77,80,75,70,74,67,74,69,59,57,79,64,49,82,80,65,79,67,69,80,83,80,78,64,78,81,76,77,90,75,79,CM,3,3,Right,"183cm / 6'0""",86kg / 190lb,CAM,25,Brazil,Serie A Enilive,Bergamo Calcio,"Anticipate, Block, Intercept",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ederson/266866,,,,,
387,577,Wladimiro Falcone,80,83,79,75,84,27,76,26,28,5,19,56,20,13,29,35,17,12,25,26,16,13,33,34,68,20,44,8,13,6,11,16,59,28,62,15,GK,2,1,Right,"196cm / 6'5""",85kg / 187lb,,29,Italy,Serie A Enilive,Lecce,"1v1 Close Down, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wladimiro-falcone/210676,83,79,75,76,84
396,577,Nicolás González,80,85,76,73,83,45,62,83,86,81,80,75,65,68,85,69,78,54,80,66,65,85,80,78,76,85,76,39,80,38,46,39,79,73,52,67,RW,2,4,Left,"180cm / 5'11""",72kg / 159lb,"RM, LW",26,Argentina,Serie A Enilive,Juventus,"First Touch, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicolas-gonzalez/240690,,,,,
400,577,Albert Guðmundsson,80,87,79,70,83,37,72,86,87,76,83,79,75,70,70,73,63,63,75,64,74,84,83,78,79,83,78,29,74,25,39,43,87,77,75,55,ST,4,3,Right,"178cm / 5'10""",78kg / 172lb,,27,Iceland,Serie A Enilive,Fiorentina,"Flair, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/albert-gu-mundsson/238004,,,,,
401,577,Mattéo Guendouzi,80,72,71,78,79,75,81,69,74,74,68,75,73,64,70,81,71,67,83,79,75,77,83,71,79,81,82,79,69,72,77,72,76,89,75,86,CM,3,4,Right,"185cm / 6'1""",68kg / 150lb,CAM,25,France,Serie A Enilive,Latium,"First Touch, Incisive Pass, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matteo-guendouzi/236496,,,,,
