player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
192387,/player/192387/ciro-immobile/240002,24,2,9/22/23,C. Immobile,Ciro Immobile,ST,85,85,34500000,90000,33,2/20/90,185,85,46,Lazio,31,Serie A,1,ST,17,,7/27/16,2026,27,Italy,1343,ST,17,Right,4,3,4,High/Medium,Unique,Yes,58700000,#Clinical finisher,Power Shot,85,87,68,78,39,74,55,91,81,79,85,77,70,58,57,80,84,86,75,85,84,86,88,73,74,80,73,40,90,71,88,76,34,33,32,6,8,15,12,6,,84+1,84+1,84+1,79,83,83,83,79,79+3,79+3,79+3,77+3,72+3,72+3,72+3,77+3,60+3,59+3,59+3,59+3,60+3,58+3,55+3,55+3,55+3,58+3,17+3
208128,/player/208128/hakan-calhanoglu/240002,24,2,9/22/23,H. Çalhanoğlu,Hakan Çalhanoğlu,"CM, CDM",85,85,52500000,130000,29,2/8/94,178,76,44,Inter,31,Serie A,1,CDM,20,,7/1/21,2027,48,Turkey,,,,Right,4,4,3,High/Medium,Normal (170-185),Yes,89300000,#Playmaker ,"Long Ball Pass, Trivela",67,80,86,85,70,66,78,75,53,88,74,85,85,85,87,88,72,62,83,86,79,86,64,80,55,87,76,76,74,88,81,85,74,70,65,9,14,11,6,10,,76+3,76+3,76+3,81,81,81,81,81,84+1,84+1,84+1,81+3,84+1,84+1,84+1,81+3,77+3,79+3,79+3,79+3,77+3,75+3,70+3,70+3,70+3,75+3,18+3
210935,/player/210935/domenico-berardi/240002,24,2,9/22/23,D. Berardi,Domenico Berardi,"RW, RM",85,85,54500000,40000,28,8/1/94,183,72,111974,Sassuolo,31,Serie A,1,RW,10,,7/1/12,2027,27,Italy,,,,Left,3,4,2,High/Medium,Lean (170-185),Yes,92700000,"#Dribbler, #Acrobat","Dead Ball, Whipped Cross, Technical, Flair, Trivela",82,83,81,87,36,72,78,85,62,85,78,86,78,75,79,87,82,82,92,85,87,83,75,78,64,80,85,25,86,83,76,78,42,30,30,5,6,5,5,6,,81+2,81+2,81+2,84,84,84,84,84,85,85,85,84+1,78+2,78+2,78+2,84+1,63+2,62+2,62+2,62+2,63+2,58+2,52+2,52+2,52+2,58+2,14+2
217870,/player/217870/giovanni-di-lorenzo/240002,24,2,9/22/23,G. Di Lorenzo,Giovanni Di Lorenzo,RB,85,85,47500000,86000,29,8/4/93,183,83,48,Napoli,31,Serie A,1,RB,22,,7/1/19,2028,27,Italy,1343,RB,2,Right,3,3,2,High/Medium,Normal (170-185),No,80800000,,"Rapid, First Touch, Relentless",85,67,75,79,82,82,80,66,76,80,60,78,69,69,74,79,85,85,78,84,78,72,88,90,78,69,78,83,71,66,59,77,82,83,81,8,10,8,10,7,,75+2,75+2,75+2,77,76,76,76,77,76+2,76+2,76+2,78+2,77+2,77+2,77+2,78+2,83+2,80+2,80+2,80+2,83+2,82+2,81+2,81+2,81+2,82+2,17+2
226754,/player/226754/ismael-bennacer/240002,24,2,9/22/23,I. Bennacer,Ismaël Bennacer,"CDM, CM, CAM",84,88,53500000,84000,25,12/1/97,175,70,47,Milan,31,Serie A,1,SUB,4,,8/4/19,2027,97,Algeria,,,,Left,3,4,2,High/Medium,Lean (170-185),No,95000000,"#Dribbler, #Acrobat",Pinged Pass,80,72,81,86,79,78,74,67,62,85,64,86,79,73,83,85,84,76,87,83,89,85,79,84,71,74,86,83,75,81,68,84,78,83,80,9,12,10,16,15,,76+2,76+2,76+2,80,80,80,80,80,81+2,81+2,81+2,81+2,82+2,82+2,82+2,81+2,81+2,83+2,83+2,83+2,81+2,80+2,79+2,79+2,79+2,80+2,21+2
232756,/player/232756/fikayo-tomori/240002,24,2,9/22/23,F. Tomori,Fikayo Tomori,CB,84,88,52500000,84000,25,12/19/97,185,79,47,Milan,31,Serie A,1,LCB,23,,7/1/21,2027,14,England,,,,Right,4,2,2,Medium/High,Lean (185+),Yes,93200000,,Block,86,40,59,66,86,82,53,33,83,73,32,61,38,40,63,66,80,90,74,84,71,56,92,74,84,45,83,85,37,48,27,81,86,90,82,10,13,10,11,7,,60+2,60+2,60+2,61,60,60,60,61,61+2,61+2,61+2,63+2,65+2,65+2,65+2,63+2,77+2,77+2,77+2,77+2,77+2,79+2,84+2,84+2,84+2,79+2,18+2
239580,/player/239580/gleison-bremer-silva-nascimento/240002,24,2,9/22/23,Bremer,Gleison Bremer Silva Nascimento,CB,84,87,49000000,135000,26,3/18/97,188,82,45,Juventus,31,Serie A,1,CB,3,,7/20/22,2027,54,Brazil,,,,Right,2,2,1,Medium/High,Stocky (185+),Yes,87000000,,"Power Header, Block, Bruiser, Aerial",80,50,56,65,85,83,46,49,85,69,38,62,42,24,69,65,77,83,65,79,67,68,92,76,85,39,82,84,58,45,43,78,84,87,83,13,15,13,5,6,,66+2,66+2,66+2,62,63,63,63,62,62+2,62+2,62+2,64+2,65+2,65+2,65+2,64+2,74+2,76+2,76+2,76+2,74+2,77+2,83+2,83+2,83+2,77+2,18+2
235805,/player/235805/federico-chiesa/240002,24,2,9/22/23,F. Chiesa,Federico Chiesa,"LM, LW, RW",84,85,50500000,140000,25,10/25/97,175,70,45,Juventus,31,Serie A,1,LS,7,,5/3/22,2025,27,Italy,,,,Right,4,4,3,High/Medium,Unique,Yes,89600000,"#Speedster, #Dribbler, #Acrobat","Rapid +, Finesse Shot, Flair, Quick Step, Trivela",91,82,76,86,53,75,75,81,50,78,80,89,78,62,72,82,91,91,89,84,81,86,75,85,70,84,74,54,83,77,62,82,60,48,44,6,7,8,9,7,,80+3,80+3,80+3,83,83,83,83,83,82+3,82+3,82+3,83+2,77+3,77+3,77+3,83+2,71+3,68+3,68+3,68+3,71+3,67+3,61+3,61+3,61+3,67+3,16+3
177683,/player/177683/yann-sommer/240002,24,2,9/22/23,Y. Sommer,Yann Sommer,GK,84,84,7000000,84000,34,12/17/88,183,79,44,Inter,31,Serie A,1,GK,1,,8/7/23,2026,47,Switzerland,,,,Right,4,1,3,Medium/Medium,Normal (170-185),Yes,11900000,,,,,,,,,13,13,10,40,8,15,12,13,36,25,48,54,55,82,58,62,67,45,68,12,38,21,15,64,24,54,9,19,12,78,79,83,84,90,50,32+3,32+3,32+3,32,34,34,34,32,36+3,36+3,36+3,34+3,37+3,37+3,37+3,34+3,30+3,34+3,34+3,34+3,30+3,29+3,29+3,29+3,29+3,29+3,83+1
189881,/player/189881/chris-smalling/240002,24,2,9/22/23,C. Smalling,Chris Smalling,CB,84,84,20000000,88000,33,11/22/89,194,81,52,Roma,31,Serie A,1,CB,6,,10/5/20,2025,14,England,,,,Right,3,2,3,Medium/High,Lean (185+),Yes,34000000,"#Aerial threat, #Tackling ","Power Header, Aerial",62,47,58,62,87,82,52,54,86,65,49,59,49,22,64,65,52,71,54,87,43,42,83,75,85,35,84,84,51,56,52,88,88,89,85,10,15,16,15,15,,62+3,62+3,62+3,59,60,60,60,59,60+3,60+3,60+3,62+3,66+3,66+3,66+3,62+3,74+3,77+3,77+3,77+3,74+3,77+3,84,84,84,77+3,22+3
192505,/player/192505/romelu-lukaku/240002,24,2,9/22/23,R. Lukaku,Romelu Lukaku Menama,ST,84,84,41500000,165000,30,5/13/93,191,94,52,Roma,31,Serie A,1,SUB,90,Chelsea,,2024,7,Belgium,1325,ST,10,Left,4,3,4,Medium/Low,Unique,Yes,,"#Poacher, #Strength, #Complete forward","Power Shot, Power Header, Press Proven",80,84,74,77,38,82,73,86,83,77,79,82,78,66,70,78,72,86,59,82,52,87,93,64,95,75,71,27,85,75,89,82,30,41,30,8,15,14,7,10,,83+1,83+1,83+1,79,81,81,81,79,78+3,78+3,78+3,78+3,72+3,72+3,72+3,78+3,59+3,58+3,58+3,58+3,59+3,56+3,56+3,56+3,56+3,56+3,18+3
198706,/player/198706/luis-alberto-romero-alconchel/240002,24,2,9/22/23,Luis Alberto,Luis Alberto Romero Alconchel,CM,84,84,40500000,78000,30,9/28/92,183,74,46,Lazio,31,Serie A,1,LCM,10,,8/31/16,2025,45,Spain,,,,Right,3,4,2,Medium/Medium,Lean (170-185),Yes,68900000,#Playmaker ,"Pinged Pass +, Finesse Shot, First Touch, Trivela",69,77,85,84,62,58,69,75,49,90,76,83,86,79,88,90,72,67,77,79,83,82,65,68,64,80,29,64,76,91,56,80,63,66,59,6,8,6,12,11,,75+2,75+2,75+2,80,81,81,81,80,84,84,84,80+2,83+1,83+1,83+1,80+2,72+2,73+2,73+2,73+2,72+2,69+2,63+2,63+2,63+2,69+2,17+2
210008,/player/210008/adrien-rabiot/240002,24,2,9/22/23,A. Rabiot,Adrien Rabiot,"CM, LM",84,84,42000000,150000,28,4/3/95,191,80,45,Juventus,31,Serie A,1,LCM,25,,7/1/19,2024,18,France,1335,LCM,14,Left,3,3,2,Medium/Medium,Lean (185+),Yes,71400000,,"Power Header, First Touch, Aerial",78,76,80,80,82,84,73,72,79,85,72,80,71,59,84,85,76,79,69,84,69,86,88,89,83,78,81,82,82,83,69,82,80,84,80,9,12,9,7,15,,80+2,80+2,80+2,80,81,81,81,80,81+2,81+2,81+2,81+2,84,84,84,81+2,82+2,83+1,83+1,83+1,82+2,81+2,82+2,82+2,82+2,81+2,19+2
216435,/player/216435/stanislav-lobotka/240002,24,2,9/22/23,S. Lobotka,Stanislav Lobotka,"CM, CDM",84,84,42000000,86000,28,11/25/94,170,64,48,Napoli,31,Serie A,1,CDM,68,,1/15/20,2027,43,Slovakia,,,,Right,4,3,2,Medium/Medium,Normal (170-),Yes,71400000,,"Anticipate, First Touch, Relentless",71,70,81,83,77,75,75,70,45,85,43,82,75,55,85,86,76,67,77,84,86,73,69,85,71,77,76,82,78,85,56,77,78,82,78,10,7,16,13,14,,73+2,73+2,73+2,79,79,79,79,79,81+2,81+2,81+2,80+2,84,84,84,80+2,80+2,82+2,82+2,82+2,80+2,79+2,76+2,76+2,76+2,79+2,19+2
246430,/player/246430/dusan-vlahovic/240002,24,2,9/22/23,D. Vlahović,Dušan Vlahović,ST,83,88,55500000,125000,23,1/28/00,190,75,45,Juventus,31,Serie A,1,RS,9,,1/28/22,2026,51,Serbia,,,,Left,3,3,2,Medium/Medium,Normal (185+),Yes,98500000,"#Poacher, #Clinical finisher","Finesse Shot, Chip Shot, Flair",80,85,66,79,29,82,57,88,79,71,78,81,75,79,59,85,77,83,63,85,53,84,91,79,88,82,69,24,86,68,79,80,19,26,24,5,15,6,11,10,,83+2,83+2,83+2,78,81,81,81,78,78+2,78+2,78+2,77+2,70+2,70+2,70+2,77+2,56+2,54+2,54+2,54+2,56+2,53+2,50+2,50+2,50+2,53+2,18+2
225116,/player/225116/alex-meret/240002,24,2,9/22/23,A. Meret,Alex Meret,GK,83,85,34000000,56000,26,3/22/97,190,83,48,Napoli,31,Serie A,1,GK,1,,7/1/19,2024,27,Italy,1343,SUB,21,Left,3,1,2,Medium/Medium,Lean (185+),No,60400000,,Footwork,,,,,,,15,17,19,30,20,16,20,21,25,25,41,48,46,76,48,54,67,29,65,17,22,22,20,25,21,67,10,21,12,83,80,72,83,86,44,32+2,32+2,32+2,28,30,30,30,28,29+2,29+2,29+2,29+2,28+2,28+2,28+2,29+2,27+2,28+2,28+2,28+2,27+2,27+2,28+2,28+2,28+2,27+2,82+2
229582,/player/229582/gianluca-mancini/240002,24,2,9/22/23,G. Mancini,Gianluca Mancini,CB,83,85,38500000,80000,27,4/17/96,190,77,52,Roma,31,Serie A,1,RCB,23,,7/1/20,2027,27,Italy,1343,RCB,14,Right,3,2,2,Medium/High,Normal (185+),Yes,68300000,,"Power Header, Slide Tackle, Bruiser",67,45,54,62,83,86,34,48,83,67,40,55,38,34,68,76,59,73,34,83,57,51,84,87,83,34,94,84,32,51,47,80,84,84,79,13,12,8,6,8,,60+2,60+2,60+2,56,58,58,58,56,58+2,58+2,58+2,60+2,66+2,66+2,66+2,60+2,73+2,78+2,78+2,78+2,73+2,75+2,83+2,83+2,83+2,75+2,18+2
226851,/player/226851/benjamin-pavard/240002,24,2,9/22/23,B. Pavard,Benjamin Pavard,"CB, RB",83,84,36500000,95000,27,3/28/96,186,81,44,Inter,31,Serie A,1,SUB,28,,8/30/23,2028,18,France,1335,SUB,2,Right,3,3,3,Medium/Medium,Normal (185+),Yes,64800000,#Tactician ,"Jockey, Intercept, Anticipate, Slide Tackle",70,62,73,72,85,78,75,49,84,79,81,68,66,51,78,77,68,72,66,84,66,80,85,81,78,70,74,86,60,66,51,78,85,86,83,9,7,15,7,15,,70+3,70+3,70+3,70,70,70,70,70,70+3,70+3,70+3,72+3,75+3,75+3,75+3,72+3,80+3,81+3,81+3,81+3,80+3,81+3,83+1,83+1,83+1,81+3,18+3
227236,/player/227236/andre-franck-zambo-anguissa/240002,24,2,9/22/23,A. Zambo Anguissa,André-Franck Zambo Anguissa,"CDM, CM",83,84,37000000,69000,27,11/16/95,184,78,48,Napoli,31,Serie A,1,RCM,99,,5/26/22,2025,103,Cameroon,,,,Right,3,3,1,High/Medium,Normal (170-185),Yes,65700000,,"Power Header, Technical, Flair, Relentless",78,68,72,81,81,86,62,66,72,80,54,82,59,45,74,82,79,78,76,83,77,74,88,85,87,70,85,84,79,76,60,82,80,86,75,11,11,9,8,11,,76+2,76+2,76+2,77,78,78,78,77,78+2,78+2,78+2,78+2,79+2,79+2,79+2,78+2,79+2,82+2,82+2,82+2,79+2,79+2,82+2,82+2,82+2,79+2,18+2
228251,/player/228251/lorenzo-pellegrini/240002,24,2,9/22/23,L. Pellegrini,Lorenzo Pellegrini,"CAM, CM, CF",83,84,42000000,88000,27,6/19/96,186,77,52,Roma,31,Serie A,1,RCM,7,,7/1/17,2026,27,Italy,,,,Right,4,3,2,High/High,Lean (185+),Yes,74600000,"#Playmaker, #Engine, #Complete midfielder","Finesse Shot, Pinged Pass, Relentless, Trivela",79,76,83,83,74,78,74,75,74,88,74,80,74,79,83,87,79,79,80,85,82,79,83,90,74,76,74,72,80,87,80,84,73,76,73,12,7,10,13,11,,79+2,79+2,79+2,81,82,82,82,81,83+1,83+1,83+1,82+2,84,84,84,82+2,79+2,80+2,80+2,80+2,79+2,78+2,76+2,76+2,76+2,78+2,19+2
199845,/player/199845/francesco-acerbi/240002,24,2,9/22/23,F. Acerbi,Francesco Acerbi,CB,83,83,9500000,67000,35,2/10/88,192,88,44,Inter,31,Serie A,1,RES,15,,7/1/23,2025,27,Italy,,,,Left,3,3,3,Medium/High,Normal (185+),No,16200000,,"Long Ball Pass, Block, Bruiser, Aerial",60,50,64,64,86,80,34,37,84,75,39,65,58,56,79,71,61,59,32,85,33,75,86,68,85,60,80,85,20,65,61,86,87,87,83,11,9,9,13,11,,60+3,60+3,60+3,57,60,60,60,57,62+3,62+3,62+3,60+3,70+3,70+3,70+3,60+3,72+3,80+3,80+3,80+3,72+3,74+3,83,83,83,74+3,19+3
208574,/player/208574/filip-kostic/240002,24,2,9/22/23,F. Kostić,Filip Kostić,"LM, LW",83,83,35000000,130000,30,11/1/92,184,84,45,Juventus,31,Serie A,1,LM,11,,8/12/22,2026,51,Serbia,,,,Left,2,3,3,High/High,Normal (170-185),Yes,59500000,"#Engine, #Crosser","Pinged Pass, Whipped Cross, Rapid",85,76,82,82,70,80,90,72,59,81,75,84,85,80,79,82,85,85,76,80,79,86,80,90,77,78,76,69,78,80,66,82,69,74,72,13,14,12,12,13,,77+3,77+3,77+3,81,80,80,80,81,80+3,80+3,80+3,82+1,80+3,80+3,80+3,82+1,80+3,77+3,77+3,77+3,80+3,78+3,73+3,73+3,73+3,78+3,20+3
210406,/player/210406/piotr-zielinski/240002,24,2,9/22/23,P. Zieliński,Piotr Sebastian Zieliński,"CM, CAM",83,83,35500000,78000,29,5/20/94,180,75,48,Napoli,31,Serie A,1,LCM,20,,8/4/16,2026,37,Poland,1353,LCM,20,Right,5,4,3,Medium/Medium,Normal (170-185),No,60400000,#Dribbler,"Technical, Trivela",81,77,81,86,71,63,73,75,52,85,75,87,80,65,81,87,83,79,85,81,79,79,68,79,57,83,56,77,80,84,58,75,69,74,71,12,9,12,11,6,,77+3,77+3,77+3,82,82,82,82,82,83,83,83,82+1,83,83,83,82+1,78+3,77+3,77+3,77+3,78+3,76+3,70+3,70+3,70+3,76+3,17+3
210413,/player/210413/alessio-romagnoli/240002,24,2,9/22/23,A. Romagnoli,Alessio Romagnoli,CB,83,83,31500000,68000,28,1/12/95,185,75,46,Lazio,31,Serie A,1,LCB,13,,7/13/22,2027,27,Italy,1343,SUB,6,Left,3,2,2,Medium/Medium,Unique,Yes,53600000,#Tackling ,Aerial,69,40,56,69,85,80,36,30,81,75,28,68,35,24,69,75,69,69,55,82,54,63,87,68,84,46,82,85,31,45,34,77,86,86,86,9,14,12,8,9,,59+2,59+2,59+2,58,59,59,59,58,61+2,61+2,61+2,61+2,66+2,66+2,66+2,61+2,73+2,78+2,78+2,78+2,73+2,76+2,83,83,83,76+2,18+2
222077,/player/222077/manuel-locatelli/240002,24,2,9/22/23,M. Locatelli,Manuel Locatelli,"CDM, CM",82,86,38500000,105000,25,1/8/98,185,75,45,Juventus,31,Serie A,1,CDM,5,,7/1/23,2026,27,Italy,1343,SUB,5,Right,4,3,2,Medium/High,Lean (185+),Yes,68300000,,"Long Ball Pass, Relentless",67,70,80,78,79,80,73,62,68,85,70,79,73,64,83,83,65,68,65,80,59,79,76,89,77,82,77,78,68,82,60,82,80,83,75,11,12,11,10,15,,73+2,73+2,73+2,75,76,76,76,75,78+2,78+2,78+2,77+2,81+2,81+2,81+2,77+2,79+2,81+2,81+2,81+2,79+2,78+2,78+2,78+2,78+2,78+2,19+2
